,Category,India/State/Union Territory,Population 2011,Decadal Population Growth Rate - 2001-2011,Population Density (per sq.km) - 2011
0,India,India,1210854977,17.7,368
1,State,Andhra Pradesh,49386799,9.0,308
2,State,Arunachal Pradesh,1383727,26.0,17
3,State,Assam,31205576,17.1,398
4,State,Bihar,104099452,25.4,1106
5,State,Chhattisgarh,25545198,22.6,189
6,State,Goa,1458545,8.2,394
7,State,Gujarat,60439692,19.3,308
8,State,Haryana,25351462,19.9,573
9,State,Himachal Pradesh,6864602,12.9,123
10,State,Jammu & Kashmir,12541302,23.6,56
11,State,Jharkhand,32988134,22.4,414
12,State,Karnataka,61095297,15.6,319
13,State,Kerala,33406061,4.9,860
14,State,Madhya Pradesh,72626809,20.3,236
15,State,Maharashtra,112374333,16.0,365
16,State,Manipur,2855794,31.8,128
17,State,Meghalaya,2966889,27.9,132
18,State,Mizoram,1097206,23.5,52
19,State,Nagaland,1978502,-0.6,119
20,State,Odisha,41974218,14.0,270
21,State,Punjab,27743338,13.9,551
22,State,Rajasthan,68548437,21.3,200
23,State,Sikkim,610577,12.9,86
24,State,Tamil Nadu,72147030,15.6,555
25,State,Telangana,35193978,13.6,306
26,State,Tripura,3673917,14.8,350
27,State,Uttarakhand,10086292,18.8,189
28,State,Uttar Pradesh,199812341,20.2,829
29,State,West Bengal,91276115,13.8,1028
30,Union Territory,Andaman & Nicobar Island,380581,6.9,46
31,Union Territory,Chandigarh,1055450,17.2,9258
32,Union Territory,Dadra & Nagar Haveli,343709,55.9,700
33,Union Territory,Daman & Diu,243247,53.8,2191
34,Union Territory,Delhi,16787941,21.2,11320
35,Union Territory,Lakshadweep,64473,6.3,2149
36,Union Territory,Puducherry,1247953,28.1,2547
