,Title,Monthly rainfall data district wise from 2004 - 2010,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Source,IMD,,,
1,Entry No.,,,,
2,File Type,Webpage,,,
3,Published in,,,,
4,Weblink,,,,
5,Disclaimer,http://www.indiawaterportal.org/disclaimer,,,
6,,,,,
7,List of Data Sets Available in the Document,,,,
8,Years,Data Set,Format,Normalised,Not Normalised
9,1,Andaman and Nicobar,Table,*,
10,2,Andhra Pradesh,Table,*,
11,3,Arunachal Pradesh,Table ,*,
12,4,Assam,Table,*,
13,5,Bihar,Table,*,
14,6,Chhattisgarh,Table,*,
15,7,Dadra & Nagarhaveli,Table,*,
16,8,Daman & Diu,Table ,*,
17,9,Delhi,Table,*,
18,10,Goa,Table,*,
19,11,Gujarat,Table,*,
20,12,Haryana,Table,*,
21,13,Himachal Pradesh,Table ,*,
22,14,Jammu & Kashmir,Table,*,
23,15,Jharkhand,Table,*,
24,16,Karnataka,Table,*,
25,17,Kerala,Table,*,
26,18,Lakshadweep,Table ,*,
27,19,Madhya Pradesh,Table,*,
28,20,Maharashtra,Table,*,
29,21,Manipur,Table,*,
30,22,Meghalaya,Table,*,
31,23,Mizoram,Table ,*,
32,24,Nagaland,Table,*,
33,25,NCT Delhi,Table,*,
34,26,Orissa,Table,*,
35,27,Pondicherry,Table,*,
36,28,Punjab,Table,*,
37,29,Rajasthan,Table,*,
38,30,Sikkim,Table ,*,
39,31,Tamil Nadu,Table,*,
40,32,Tripura,Table,*,
41,33,Uttarakhand,Table,*,
42,34,Uttar Pradesh,Table,*,
43,35,West Bengal,Table ,*,
44,,,,,
45,N.A. - Not Available,,,,
